species,area,version,data_input,data_input_values,M_estimate,references
shortspine thornyhead,GOA,2,Max age (y),133,0.0406,ADF&G Age Determination Unit website
shortspine thornyhead,GOA,1,GSI,0.0072,0.0131,Pearson and Gunderson 2003
shortspine thornyhead,GOA,1,Temperature (C) / Dry weight (g),"2.8 / 2,470",0.1119,McCoy and Gillooly 2008
shortspine thornyhead,"GOA, WC",1,Max age (y),50,0.1080,Kastelle et al. 2000 (minimum)
shortspine thornyhead,"GOA, WC",2,Max age (y),100,0.0540,Kastelle et al. 2000 (maximum)
shortspine thornyhead,"GOA, AI, BS, WC",3,Max age (y),250,0.0216,Pearson and Gunderson 2003 (minimum)
shortspine thornyhead,"GOA, AI, BS, WC",4,Max age (y),313,0.0173,Pearson and Gunderson 2003 (maximum)
shortspine thornyhead,WC,1,Max age (y),150,0.0360,Jacobson 1990
shortspine thornyhead,WC,2,Max age (y),115,0.0470,Kline 1996 (conventional ageing)
shortspine thornyhead,WC,3,Max age (y),100,0.0540,Kline 1996 (radiochemical ageing)
silvergray rockfish,BC,1,Max age (y),81,0.0667,ADF&G Age Determination Unit website
silvergray rockfish,GOA,1,Max age (y),79,0.0684,AFSC max age
silvergray rockfish,GOA,2,Max age (y),71,0.0763,AFSC mean top 5
silvergray rockfish,GOA,3,Max age (y),75,0.0720,Malecha et al. 2007
silvergray rockfish,GOA,1,Temperature (C) / Dry weight (g),"7.0 / 1,960",0.1796,McCoy and Gillooly 2008
yelloweye rockfish,BC,1,Max age (y),115,0.0470,DFO 2018
yelloweye rockfish,GOA,1,Max age (y),122,0.0443,ADF&G Age Determination Unit website
yelloweye rockfish,GOA,2,Max age (y),114,0.0474,Bechtol 1998
yelloweye rockfish,GOA,3,Max age (y),118,0.0458,O'Connell and Funk 1987
yelloweye rockfish,GOA,1,GSI,0.0285,0.0518,Arthur 2020
yelloweye rockfish,GOA,1,Temperature (C) / Dry weight (g),"6.0 / 4,200",0.1327,McCoy and Gillooly 2008
