species,input_area,M_method,M_estimate,version,method_or_source
redbanded rockfish,multi_region,temp,NA,1,NA
redbanded rockfish,multi_region,lvb,NA,1,NA
redbanded rockfish,WC,amax,NA,1,NA
redbanded rockfish,WC,gsi,NA,1,NA
redbanded rockfish,WC,temp,NA,1,NA
redbanded rockfish,WC,lvb,NA,1,NA
redstripe rockfish,AI,amax,NA,1,NA
redstripe rockfish,AI,gsi,NA,1,NA
redstripe rockfish,AI,temp,NA,1,NA
redstripe rockfish,AI,lvb,NA,1,NA
redstripe rockfish,BC,amax,0.09818181818181819,1,"personal communication, Shayne MacLellan, CDFO, Nanaimo. Reported on ADFG ADU website. large sample size >2000, specimen from 1999. don't see a reason to omit necessarily, though this age is greater than AFSC max age of 46 yrs n=611"
redstripe rockfish,BC,gsi,NA,1,NA
redstripe rockfish,BC,temp,NA,1,NA
redstripe rockfish,BC,lvb,NA,1,NA
redstripe rockfish,BS,amax,NA,1,NA
redstripe rockfish,BS,gsi,NA,1,NA
redstripe rockfish,BS,temp,NA,1,NA
redstripe rockfish,BS,lvb,NA,1,NA
redstripe rockfish,GOA,amax,0.11739130434782609,1,afsc_allages_max_age
redstripe rockfish,GOA,amax,0.1377551020408163,2,afsc_allages_mean_top5
redstripe rockfish,GOA,gsi,NA,1,NA
redstripe rockfish,GOA,temp,NA,1,NA
redstripe rockfish,GOA,lvb,NA,1,NA
redstripe rockfish,multi_region,amax,NA,1,NA
redstripe rockfish,multi_region,gsi,NA,1,NA
redstripe rockfish,multi_region,temp,NA,1,NA
redstripe rockfish,multi_region,lvb,NA,1,NA
redstripe rockfish,WC,amax,NA,1,NA
redstripe rockfish,WC,gsi,NA,1,NA
redstripe rockfish,WC,temp,NA,1,NA
redstripe rockfish,WC,lvb,NA,1,NA
rougheye rockfish,AI,amax,0.04122137404580153,1,afsc_allages_max_age
rougheye rockfish,AI,amax,0.04599659284497445,2,afsc_allages_mean_top5
rougheye rockfish,AI,gsi,NA,1,NA
rougheye rockfish,AI,temp,NA,1,NA
rougheye rockfish,AI,lvb,NA,1,NA
rougheye rockfish,BC,amax,NA,1,NA
rougheye rockfish,BC,gsi,NA,1,NA
rougheye rockfish,BC,temp,NA,1,NA
rougheye rockfish,BC,lvb,NA,1,NA
rougheye rockfish,BS,amax,0.04153846153846154,1,afsc_allages_max_age
rougheye rockfish,BS,amax,0.04492512479201331,2,afsc_allages_mean_top5
rougheye rockfish,BS,gsi,NA,1,NA
rougheye rockfish,BS,temp,NA,1,NA
rougheye rockfish,BS,lvb,NA,1,NA
rougheye rockfish,GOA,amax,0.04,1,afsc_allages_max_age
rougheye rockfish,GOA,amax,0.04507512520868114,2,afsc_allages_mean_top5
rougheye rockfish,GOA,amax,0.02634146341463415,3,FishBase. Munk 2001.
rougheye rockfish,GOA,gsi,NA,1,NA
rougheye rockfish,GOA,temp,NA,1,NA
rougheye rockfish,GOA,lvb,0.21904774404531713,1,2009 GOA trawl survey genetic species ID. Appendix 13B of the 2019 SAFE. Shotwell and Hanselman 2019.
rougheye rockfish,multi_region,amax,NA,1,NA
rougheye rockfish,multi_region,gsi,NA,1,NA
rougheye rockfish,multi_region,temp,NA,1,NA
rougheye rockfish,multi_region,lvb,NA,1,NA
rougheye rockfish,WC,amax,NA,1,NA
rougheye rockfish,WC,gsi,NA,1,NA
rougheye rockfish,WC,temp,NA,1,NA
rougheye rockfish,WC,lvb,NA,1,NA
sharpchin rockfish,AI,amax,NA,1,NA
sharpchin rockfish,AI,gsi,NA,1,NA
sharpchin rockfish,AI,temp,NA,1,NA
sharpchin rockfish,AI,lvb,NA,1,NA
sharpchin rockfish,BC,amax,NA,1,NA
sharpchin rockfish,BC,gsi,NA,1,NA
sharpchin rockfish,BC,temp,NA,1,NA
sharpchin rockfish,BC,lvb,0.22826938189279367,1,Archibald 1981
sharpchin rockfish,BS,amax,NA,1,NA
sharpchin rockfish,BS,gsi,NA,1,NA
sharpchin rockfish,BS,temp,NA,1,NA
sharpchin rockfish,BS,lvb,NA,1,NA
sharpchin rockfish,GOA,amax,0.1125,1,afsc_allages_max_age
sharpchin rockfish,GOA,amax,0.12442396313364057,2,afsc_allages_mean_top5
sharpchin rockfish,GOA,gsi,NA,1,NA
sharpchin rockfish,GOA,temp,0.2317214534391276,1,"McCoy and Gillooly 2008, supplementary materials"
sharpchin rockfish,GOA,lvb,0.2950613452846096,1,Malecha et al. 2007
sharpchin rockfish,multi_region,amax,NA,1,NA
sharpchin rockfish,multi_region,gsi,NA,1,NA
sharpchin rockfish,multi_region,temp,NA,1,NA
sharpchin rockfish,multi_region,lvb,NA,1,NA
sharpchin rockfish,WC,amax,0.09310344827586207,1,Cope et al. 2015
sharpchin rockfish,WC,gsi,NA,1,NA
sharpchin rockfish,WC,temp,NA,1,NA
sharpchin rockfish,WC,lvb,0.3548548991748058,1,"Cope et al. 2015 female only, male Linf = 26.98, male k = 0.2, note model fit to cm"
shortraker rockfish,AI,amax,0.043548387096774194,1,afsc_allages_max_age
shortraker rockfish,AI,amax,0.049090909090909095,2,afsc_allages_mean_top5
shortraker rockfish,AI,gsi,NA,1,NA
shortraker rockfish,AI,temp,NA,1,NA
shortraker rockfish,AI,lvb,NA,1,NA
shortraker rockfish,BC,amax,0.045000000000000005,1,Chilton and Beamish 1982
shortraker rockfish,BC,gsi,NA,1,NA
shortraker rockfish,BC,temp,NA,1,NA
shortraker rockfish,BC,lvb,NA,1,NA
shortraker rockfish,BS,amax,NA,1,NA
shortraker rockfish,BS,gsi,NA,1,NA
shortraker rockfish,BS,temp,NA,1,NA
shortraker rockfish,BS,lvb,NA,1,NA
shortraker rockfish,GOA,amax,0.036986301369863014,1,afsc_allages_max_age
shortraker rockfish,GOA,amax,0.04225352112676057,2,afsc_allages_mean_top5
shortraker rockfish,GOA,amax,0.034394904458598725,3,Munk 2001
shortraker rockfish,GOA,amax,0.03375,4,ADFG Age Determiation Unit - McNeal 2002
shortraker rockfish,GOA,gsi,NA,1,NA
shortraker rockfish,GOA,temp,0.09252301499463407,1,"McCoy and Gillooly 2008, supplementary materials"
shortraker rockfish,GOA,lvb,NA,1,NA
shortraker rockfish,multi_region,amax,NA,1,NA
shortraker rockfish,multi_region,gsi,NA,1,NA
shortraker rockfish,multi_region,temp,NA,1,NA
shortraker rockfish,multi_region,lvb,0.07346967488366232,1,uses ages from Hutchinson 2004 partially validated analysis
shortraker rockfish,WC,amax,NA,1,NA
shortraker rockfish,WC,gsi,NA,1,NA
shortraker rockfish,WC,temp,NA,1,NA
shortraker rockfish,WC,lvb,NA,1,NA
shortspine thornyhead,AI,amax,NA,1,NA
shortspine thornyhead,AI,gsi,0.0170798,1,Pearson and Gunderson 2003
shortspine thornyhead,AI,temp,NA,1,NA
shortspine thornyhead,AI,lvb,NA,1,NA
shortspine thornyhead,BC,amax,NA,1,NA
shortspine thornyhead,BC,gsi,NA,1,NA
shortspine thornyhead,BC,temp,NA,1,NA
shortspine thornyhead,BC,lvb,NA,1,NA
shortspine thornyhead,BS,amax,NA,1,NA
shortspine thornyhead,BS,gsi,0.0165347,1,Pearson and Gunderson 2003
shortspine thornyhead,BS,temp,NA,1,NA
shortspine thornyhead,BS,lvb,NA,1,NA
shortspine thornyhead,GOA,amax,0.08709677419354839,1,Miller 1985
shortspine thornyhead,GOA,amax,0.0406015037593985,2,ADFG Age Determiation Unit - McNeal 1998
shortspine thornyhead,GOA,gsi,0.0130824,1,Pearson and Gunderson 2003
shortspine thornyhead,GOA,temp,0.11193769102421136,1,"McCoy and Gillooly 2008, supplementary materials"
shortspine thornyhead,GOA,lvb,NA,1,NA
shortspine thornyhead,multi_region,amax,0.10800000000000001,1,"minimum in Kastelle et al 2000, Cailliet et al 2001 - radiochemical ageing technique"
shortspine thornyhead,multi_region,amax,0.054000000000000006,2,"maximum in Kastelle et al 2000, Cailliet et al 2001 - radiochemical ageing technique"
shortspine thornyhead,multi_region,amax,0.0216,3,minimum in Pearson and Gunderson 2003 - gonadosomatic index (GSI)
shortspine thornyhead,multi_region,amax,0.017252396166134186,4,maximum in Pearson and Gunderson 2003 - gonadosomatic index (GSI)
shortspine thornyhead,multi_region,gsi,NA,1,NA
shortspine thornyhead,multi_region,temp,NA,1,NA
shortspine thornyhead,multi_region,lvb,NA,1,NA
shortspine thornyhead,WC,amax,0.036000000000000004,1,Jacobson 1990
shortspine thornyhead,WC,amax,0.04695652173913044,2,Kline 1996 - conventional ageing method
shortspine thornyhead,WC,amax,0.054000000000000006,3,Kline 1996 - radiochemical ageing technique
shortspine thornyhead,WC,gsi,NA,1,NA
shortspine thornyhead,WC,temp,NA,1,NA
shortspine thornyhead,WC,lvb,NA,1,NA
silvergray rockfish,AI,amax,NA,1,NA
silvergray rockfish,AI,gsi,NA,1,NA
silvergray rockfish,AI,temp,NA,1,NA
silvergray rockfish,AI,lvb,NA,1,NA
silvergray rockfish,BC,amax,0.06666666666666667,1,"personal communication, Shayne MacLellan, CDFO, Nanaimo. Reported on ADFG ADU website and in Munk 2001. Specimen collected in 1981. Decided to use=1 because sample size is large >10000 and AFSC max age is very close at 79 yrs, also in Stanley and Kronlund 2005"
silvergray rockfish,BC,gsi,NA,1,NA
silvergray rockfish,BC,temp,NA,1,NA
silvergray rockfish,BC,lvb,NA,1,NA
silvergray rockfish,BS,amax,NA,1,NA
silvergray rockfish,BS,gsi,NA,1,NA
silvergray rockfish,BS,temp,NA,1,NA
silvergray rockfish,BS,lvb,NA,1,NA
silvergray rockfish,GOA,amax,0.06835443037974684,1,afsc_allages_max_age
silvergray rockfish,GOA,amax,0.07627118644067797,2,afsc_allages_mean_top5
silvergray rockfish,GOA,amax,0.07200000000000001,3,Malecha et a. 2007
silvergray rockfish,GOA,gsi,NA,1,NA
silvergray rockfish,GOA,temp,0.17955221323996598,1,"McCoy and Gillooly 2008, supplementary materials"
silvergray rockfish,GOA,lvb,NA,1,NA
silvergray rockfish,multi_region,amax,NA,1,NA
silvergray rockfish,multi_region,gsi,NA,1,NA
silvergray rockfish,multi_region,temp,NA,1,NA
silvergray rockfish,multi_region,lvb,NA,1,NA
silvergray rockfish,WC,amax,NA,1,NA
silvergray rockfish,WC,gsi,NA,1,NA
silvergray rockfish,WC,temp,NA,1,NA
silvergray rockfish,WC,lvb,NA,1,NA
yelloweye rockfish,AI,amax,NA,1,NA
yelloweye rockfish,AI,gsi,NA,1,NA
yelloweye rockfish,AI,temp,NA,1,NA
yelloweye rockfish,AI,lvb,NA,1,NA
yelloweye rockfish,BC,amax,0.04695652173913044,1,Fisheries and Oceans Canada 2018
yelloweye rockfish,BC,gsi,NA,1,NA
yelloweye rockfish,BC,temp,NA,1,NA
yelloweye rockfish,BC,lvb,NA,1,NA
yelloweye rockfish,BS,amax,NA,1,NA
yelloweye rockfish,BS,gsi,NA,1,NA
yelloweye rockfish,BS,temp,NA,1,NA
yelloweye rockfish,BS,lvb,NA,1,NA
yelloweye rockfish,GOA,amax,0.04426229508196722,1,"ADFG - Age Determination Unit, Juneau, AK large sample size, specimen collected in 2001"
yelloweye rockfish,GOA,amax,0.04736842105263158,2,Bechtol 1998
yelloweye rockfish,GOA,amax,0.04576271186440678,3,O'Connell and Funk 1987
yelloweye rockfish,GOA,gsi,0.0517845,1,"Aurthur 2020, n = 13, mean GSI for stage 3, as per Gunderson"
yelloweye rockfish,GOA,temp,0.1327104989275052,1,"McCoy and Gillooly 2008, supplementary materials"
yelloweye rockfish,GOA,lvb,NA,1,NA
yelloweye rockfish,multi_region,amax,NA,1,NA
yelloweye rockfish,multi_region,gsi,NA,1,NA
yelloweye rockfish,multi_region,temp,NA,1,NA
yelloweye rockfish,multi_region,lvb,NA,1,NA
yelloweye rockfish,WC,amax,NA,1,NA
yelloweye rockfish,WC,gsi,NA,1,NA
yelloweye rockfish,WC,temp,NA,1,NA
yelloweye rockfish,WC,lvb,NA,1,NA
