area,source,year,common_name,sex,age,length,weight,gear
GOA,NORPAC,2008,dusky rockfish,M,13,42,1.35,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,46,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,21,45,1.66,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,41,1.38,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,42,1.21,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,17,45,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,45,NA,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,46,NA,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,45,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,9,43,1.26,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,37,0.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,40,0.9,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,44,1.3,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,46,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,30,50,2.23,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,45,1.55,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,45,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,49,1.95,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,48,1.75,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,21,44,1.45,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,42,1.28,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,17,48,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,47,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,45,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,38,1.52,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,18,48,1.84,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,38,0.95,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,27,47,1.87,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,8,33,0.63,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,41,1.28,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,23,48,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,37,47,1.58,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,45,1.55,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,42,1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,45,NA,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,44,1.55,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,29,48,1.95,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,17,46,1.65,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,39,1.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,18,46,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,14,46,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,50,2.2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,43,2.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,47,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,48,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,43,1.33,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,41,1.06,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,43,1.24,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,24,47,1.72,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,18,48,1.95,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,19,46,1.67,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,45,1.61,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,19,46,1.65,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,45,1.45,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,41,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,19,50,2.3,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,45,1.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,22,48,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,41,1.35,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,47,1.8,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,43,1.48,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,19,45,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,17,47,1.84,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,47,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,43,1.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,41,41,1,NA
GOA,NORPAC,2008,dusky rockfish,F,13,43,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,42,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,41,1.15,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,43,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,46,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,47,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,43,1.2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,21,50,1.92,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,42,1.24,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,43,1.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,45,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,43,1.35,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,47,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,19,48,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,17,45,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,7,33,0.68,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,51,46,1.95,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,41,1.66,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,38,49,1.94,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,44,1.31,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,44,1.62,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,38,0.98,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,50,1.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,22,47,1.81,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,44,1.55,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,41,1.32,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,9,42,1.46,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,22,47,1.56,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,18,45,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,43,1.43,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,46,1.73,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,31,45,1.51,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,45,1.73,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,47,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,22,49,1.59,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,43,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,45,0.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,45,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,43,1.34,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,51,2.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,45,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,47,2.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,19,47,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,41,1.23,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,43,1.49,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,21,45,1.57,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,21,46,1.56,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,9,41,1.22,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,43,1.36,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,44,1.44,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,46,1.65,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,30,51,2.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,20,45,1.61,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,43,1.45,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,40,1.1,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,44,1.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,49,2.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,23,46,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,48,2.2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,42,1.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,14,42,1.35,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,45,1.25,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,23,44,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,44,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,23,47,1.81,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,22,46,1.69,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,49,1.9,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,19,46,1.5,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,45,1.53,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,16,46,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,9,41,NA,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,43,1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,39,1.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,45,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,42,1.2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,43,1.35,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,17,47,2.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,46,1.53,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,39,0.93,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,19,45,1.58,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,40,1.25,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,45,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,49,2.08,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,17,49,1.89,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,23,48,1.77,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,52,2.44,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,29,45,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,40,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,46,1.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,42,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,44,1.38,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,42,1.68,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,48,2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,47,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,39,0.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,17,50,1.95,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,57,40,1.23,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,39,1.14,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,21,47,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,40,1.17,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,43,1.55,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,41,1.26,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,43,1.35,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,47,1.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,46,1.3,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,22,48,2.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,43,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,14,42,1.26,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,18,44,1.39,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,46,1.73,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,47,1.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,48,1.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,17,47,2.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,32,49,1.96,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,41,1.2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,15,48,1.7,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,44,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,20,48,1.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,46,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,45,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,21,49,1.75,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,42,1.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,46,1.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,16,43,1.48,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,46,1.35,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,42,1.32,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,43,1.3,NA
GOA,NORPAC,2008,dusky rockfish,M,11,44,1.78,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,9,38,0.99,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,44,1.47,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,45,1.57,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,14,38,2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,47,2.1,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,39,NA,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,22,49,1.99,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,41,1.27,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,21,47,2.03,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,16,46,1.64,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,20,41,1.06,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,16,46,1.75,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,14,47,1.82,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,39,1.15,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,21,45,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,21,46,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,40,1.09,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,14,42,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,34,52,2.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,39,46,1.8,Hook-and-line fishery
GOA,NORPAC,2008,dusky rockfish,F,11,46,2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,21,44,1.38,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,44,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,38,1.01,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,46,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,47,1.65,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,46,1.75,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,12,43,1.75,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,23,48,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,47,1.8,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,8,33,0.72,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,48,2.1,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,28,46,1.52,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,52,2.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,22,50,2.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,45,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,16,45,0.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,43,2.2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,25,50,2,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,46,1.4,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,43,1.55,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,43,1.47,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,9,37,0.86,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,9,43,1.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,42,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,44,1.48,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,45,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,10,40,1.3,NA
GOA,NORPAC,2008,dusky rockfish,M,17,46,1.3,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,42,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,41,1.17,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,43,1.43,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,18,43,1.35,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,17,45,1.57,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,46,1.73,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,49,1.7,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,26,48,2.02,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,50,2.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,18,47,2.1,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,43,1.53,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,41,1.22,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,42,1.4,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,48,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,45,1.56,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,12,41,1.27,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,43,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,15,48,2,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,14,45,1.58,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,32,50,2.13,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,13,41,1.33,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,45,1.96,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,8,38,1.01,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,20,49,2.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,16,45,1.5,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,44,1.6,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,43,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,11,42,1.3,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,10,47,1.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,13,45,1.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,9,40,1.17,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,18,46,1.78,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,21,47,1.7,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,17,47,1.9,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,20,48,1.68,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,41,1.26,Bottom trawl fishery
GOA,NORPAC,2008,dusky rockfish,M,19,43,1.5,Pelagic trawl fishery
GOA,NORPAC,2008,dusky rockfish,F,11,42,1.08,Bottom trawl fishery
