ID,AGENCY,NAME,CODE,ID,AGENCY,NAME,CODE
76,AKR,Lanternfishes (family Myctophidae),772,490,OBS,BLUE LANTERNFISH,703
6,AKR,Rock Sole,123,522,OBS,ROCK SOLE UNIDENTIFIED,104
20,AKR,Copper Rockfish,138,525,OBS,COPPER ROCKFISH,327
1534,AKR,Large Sculpins - Plain Sculpin,282,530,OBS,SCULPIN UNIDENTIFIED,400
1537,AKR,Large Sculpins - Yellow Irish Lord,285,530,OBS,SCULPIN UNIDENTIFIED,400
1531,AKR,Other Small Sculpins,160,540,OBS,ARCTIC STAGHORN SCULPIN,423
1000,AKR,"Lamprey, pacific",600,566,OBS,LAMPREY UNIDENTIFIED,75
80,AKR,Octopus,870,568,OBS,OCTOPUS UNIDENTIFIED,60
1013,AKR,"Clam, pacific razor",830,1224,OBS,MUSSELS OYSTERS SCALLOPS CLAMS,29
1531,AKR,Other Small Sculpins,160,1247,OBS,THYRISCUS ANOPLUS,428
1519,AKR,"Snailfish, general",218,1255,OBS,CRYSTALLICHTHYS UNIDENTIFIED,510
31,AKR,Rougheye Rockfish,151,90,OBS,ROUGHEYE ROCKFISH,307
63,AKR,Pollock,270,93,OBS,POLLOCK,201
88,AKR,"Crab, Opilio Tanner (Snow)",932,105,OBS,OPILIO TANNER CRAB,5
65,AKR,Sockeye Salmon,420,109,OBS,SOCKEYE SALMON,224
1531,AKR,Other Small Sculpins,160,118,OBS,MYOXOCEPHALUS SCULPIN UNIDENTIFIED,440
1028,AKR,"Crab, scarlet king",924,121,OBS,COUESI KING CRAB,16
1028,AKR,"Crab, scarlet king",924,131,OBS,CRAB UNIDENTIFIED,1
85,AKR,"Crab, Golden King (Brown)",923,136,OBS,LITHODID CRAB UNIDENTIFIED,14
1002,AKR,"Shark, pacific sleeper",692,161,OBS,SHARK UNIDENTIFIED,65
1001,AKR,"Shark, spiny dogfish",691,161,OBS,SHARK UNIDENTIFIED,65
1036,AKR,"Shark, salmon",690,161,OBS,SHARK UNIDENTIFIED,65
1001,AKR,"Shark, spiny dogfish",691,162,OBS,SPINY DOGFISH SHARK,66
11,AKR,English Sole,128,176,OBS,ENGLISH SOLE,108
75,AKR,Sablefish (blackcod),710,188,OBS,SABLEFISH (BLACKCOD),203
1517,AKR,Eels or eel-like fish  ,210,205,OBS,EELPOUT UNIDENTIFIED,250
21,AKR,Pacific Ocean Perch,141,213,OBS,PACIFIC OCEAN PERCH,301
33,AKR,Redbanded Rockfish,153,219,OBS,RED BANDED ROCKFISH,308
17,AKR,Greenstriped Rockfish,135,223,OBS,GREENSTRIPED ROCKFISH,313
42,AKR,Blue Rockfish,167,226,OBS,BLUE ROCKFISH,316
38,AKR,Redstripe Rockfish,158,232,OBS,REDSTRIPE ROCKFISH,324
53,AKR,Stripetail Rockfish,183,235,OBS,STRIPETAIL ROCKFISH,328
1534,AKR,Large Sculpins - Plain Sculpin,282,248,OBS,PLAIN SCULPIN,399
1517,AKR,Eels or eel-like fish  ,210,271,OBS,RIBBONFISH UNIDENTIFIED,563
1614,AKR,Pacific Herring (directed fishery),230,272,OBS,SMELT/HERRING UNIDENTIFIED,600
1517,AKR,Eels or eel-like fish  ,210,285,OBS,CUTLASSFISH UNIDENTIFIED,660
1518,AKR,Wolf-eel ,217,299,OBS,WOLF-EEL,780
1521,AKR,"Poacher, general",219,374,OBS,NORTHERN SPEARNOSE POACHER,458
1531,AKR,Other Small Sculpins,160,383,OBS,LEISTER SCULPIN,427
1531,AKR,Other Small Sculpins,160,387,OBS,DUSKY SCULPIN,404
1497,AKR,"Sturgeon, general",680,399,OBS,GREEN STURGEON,231
1621,AKR,"Skate, Other",700,408,OBS,CALIFORNIA SKATE,87
1621,AKR,"Skate, Other",700,412,OBS,SANDPAPER SKATE,98
84,AKR,Blue King Crab,922,420,OBS,BLUE KING CRAB,6
1531,AKR,Other Small Sculpins,160,449,OBS,SAILFIN SCULPIN,419
1517,AKR,Eels or eel-like fish  ,210,458,OBS,MARBLED EELPOUT,249
1031,AKR,"Shrimp, Northern (Pink)",961,460,OBS,NORTHERN PINK SHRIMP,73
71,AKR,Capelin,516,479,OBS,CAPELIN,604
1521,AKR,"Poacher, general",219,493,OBS,WARTY POACHER,451
1031,AKR,"Shrimp, Northern (Pink)",961,518,OBS,SHRIMP UNIDENTIFIED,70
1532,AKR,Large Sculpins - Bigmouth Sculpin,280,530,OBS,SCULPIN UNIDENTIFIED,400
1028,AKR,"Crab, scarlet king",924,556,OBS,KING CRAB UNIDENTIFIED,2
986,AKR,"Greenling, rock",191,563,OBS,GREENLING UNIDENTIFIED,390
1517,AKR,Eels or eel-like fish  ,210,578,OBS,CUSK-EEL UNIDENTIFIED,248
1530,AKR,"Jellyfish, general",625,1052,OBS,JELLYFISH UNIDENTIFIED,35
60,AKR,"Bristlemouths, (family Gonostomatidae)",209,1181,OBS,BRISTLEMOUTHS,696
1531,AKR,Other Small Sculpins,160,1249,OBS,GYMNOCANTHUS UNIDENTIFIED,431
1621,AKR,"Skate, Other",700,1620,OBS,BUTTERFLY SKATE,168
76,AKR,Lanternfishes (family Myctophidae),772,1636,OBS,MYCTOPHIDAE SPP,699
1621,AKR,"Skate, Other",700,1638,OBS,ROUGHSHOULDER SKATE,166
81,AKR,Squid,875,98,OBS,SQUID UNIDENTIFIED,50
1513,AKR,Miscellaneous Flatfish,120,115,OBS,PACIFIC SANDDAB,137
1534,AKR,Large Sculpins - Plain Sculpin,282,118,OBS,MYOXOCEPHALUS SCULPIN UNIDENTIFIED,440
1538,AKR,Other Large Sculpins,286,118,OBS,MYOXOCEPHALUS SCULPIN UNIDENTIFIED,440
68,AKR,Chum Salmon,450,127,OBS,CHUM SALMON,221
67,AKR,Pink Salmon,440,130,OBS,PINK SALMON,225
1029,AKR,"Crab, hair",940,131,OBS,CRAB UNIDENTIFIED,1
1026,AKR,"Crabs, box",900,134,OBS,BOX CRAB,11
1036,AKR,"Shark, salmon",690,163,OBS,SALMON SHARK,67
992,AKR,Pacific hagfish,212,164,OBS,HAGFISH UNIDENTIFIED,77
1551,AKR,"Skate, Longnose",701,169,OBS,LONGNOSE SKATE,95
1621,AKR,"Skate, Other",700,170,OBS,STARRY SKATE,96
1621,AKR,"Skate, Other",700,184,OBS,GOLDEN SKATE,160
2,AKR,Pacific Cod,110,187,OBS,PACIFIC COD,202
1504,AKR,Saffron Cod,111,193,OBS,SAFFRON COD,208
1517,AKR,Eels or eel-like fish  ,210,206,OBS,POLAR EELPOUT,252
41,AKR,Sharpchin Rockfish,166,215,OBS,SHARPCHIN ROCKFISH,304
47,AKR,Harlequin Rockfish,176,231,OBS,HARLEQUIN ROCKFISH,323
218,AKR,Unidentified Rockfish,139,241,OBS,P.O.P. GROUP,344
987,AKR,"Greenling, whitespot",192,244,OBS,WHITESPOTTED GREENLING,391
1531,AKR,Other Small Sculpins,160,246,OBS,TADPOLE SCULPIN,397
1532,AKR,Large Sculpins - Bigmouth Sculpin,280,249,OBS,BIGMOUTH SCULPIN,402
1531,AKR,Other Small Sculpins,160,255,OBS,BLACKFIN SCULPIN,411
1531,AKR,Other Small Sculpins,160,263,OBS,ARMORHEAD SCULPIN,470
1531,AKR,Other Small Sculpins,160,264,OBS,ROUGHSPINE SCULPIN,471
1531,AKR,Other Small Sculpins,160,379,OBS,SLIM SCULPIN,416
1517,AKR,Eels or eel-like fish  ,210,401,OBS,SPOTTED CUSK-EEL,256
73,AKR,"Shark, Other",689,402,OBS,BLUE SHARK,69
1035,AKR,"Shrimp, spot",965,403,OBS,SPOT SHRIMP,71
25,AKR,Yelloweye Rockfish,145,424,OBS,YELLOWEYE ROCKFISH,322
1646,AKR,Shortraker/Rougheye Rockfish,171,451,OBS,SHORTRAKER/ROUGHEYE ROCKFISH,354
1517,AKR,Eels or eel-like fish  ,210,457,OBS,EBONY EELPOUT,263
1513,AKR,Miscellaneous Flatfish,120,463,OBS,C-O SOLE,118
73,AKR,"Shark, Other",689,469,OBS,BROWN CAT SHARK,68
51,AKR,Shortbelly Rockfish,181,474,OBS,SHORTBELLY ROCKFISH,318
1531,AKR,Other Small Sculpins,160,495,OBS,NORTHERN SCULPIN,417
73,AKR,"Shark, Other",689,500,OBS,SOUPFIN SHARK,64
1035,AKR,"Shrimp, spot",965,518,OBS,SHRIMP UNIDENTIFIED,70
1000,AKR,"Lamprey, pacific",600,519,OBS,PACIFIC LAMPREY,79
1615,AKR,"Skate, Alaska",703,520,OBS,ALASKA SKATE,88
1517,AKR,Eels or eel-like fish  ,210,544,OBS,BLACKBELLY EELPOUT,261
83,AKR,Red King Crab,921,556,OBS,KING CRAB UNIDENTIFIED,2
85,AKR,"Crab, Golden King (Brown)",923,556,OBS,KING CRAB UNIDENTIFIED,2
1526,AKR,Dark Rockfish,173,562,OBS,DUSKY ROCKFISH UNIDENTIFIED,355
987,AKR,"Greenling, whitespot",192,563,OBS,GREENLING UNIDENTIFIED,390
1612,AKR,"Crab, Multispine",951,1218,OBS,PARALOMIS MULTISPINA,17
1016,AKR,"Scallop, weathervane",850,1224,OBS,MUSSELS OYSTERS SCALLOPS CLAMS,29
1020,AKR,Oysters,880,1224,OBS,MUSSELS OYSTERS SCALLOPS CLAMS,29
1017,AKR,"Scallop, pink (or calico)",851,1224,OBS,MUSSELS OYSTERS SCALLOPS CLAMS,29
1613,AKR,"Crab, Verrilli",953,1230,OBS,PARALOMIS VERILLI CRAB,38
1531,AKR,Other Small Sculpins,160,1252,OBS,ICELUS UNIDENTIFIED,436
1022,AKR,Snails,890,1308,OBS,ERODED TURRET SNAIL,928
1022,AKR,Snails,890,1354,OBS,PALLID MOON SNAIL,985
1621,AKR,"Skate, Other",700,1647,OBS,STIFF SNOUT SKATE,167
984,AKR,Shad,180,99,OBS,AMERICAN SHAD,606
1641,AKR,"Skate, Big",702,100,OBS,BIG SKATE,94
23,AKR,Thornyhead Rockfish (Idiots),143,101,OBS,THORNYHEAD ROCKFISH UNIDENTIFIED,349
87,AKR,Bairdi Tanner Crab,931,104,OBS,BAIRDI TANNER CRAB,4
1513,AKR,Miscellaneous Flatfish,120,113,OBS,HYBRID SOLE,116
66,AKR,Coho Salmon,430,129,OBS,COHO SALMON,223
84,AKR,Blue King Crab,922,131,OBS,CRAB UNIDENTIFIED,1
84,AKR,Blue King Crab,922,136,OBS,LITHODID CRAB UNIDENTIFIED,14
81,AKR,Squid,875,144,OBS,PACIFIC BOBTAIL SQUID,28
73,AKR,"Shark, Other",689,163,OBS,SALMON SHARK,67
1047,AKR,"Flatfish, unidentified",100,171,OBS,FLATFISH  UNIDENTIFIED,100
7,AKR,Dover Sole,124,175,OBS,DOVER SOLE,107
9,AKR,Butter Sole,126,177,OBS,BUTTER SOLE,109
989,AKR,Pacific sandfish (family Trichodontidae),206,201,OBS,SANDFISHES,239
1517,AKR,Eels or eel-like fish  ,210,208,OBS,BLACK EELPOUT,254
1517,AKR,Eels or eel-like fish  ,210,209,OBS,SHORTFIN EELPOUT,259
218,AKR,Unidentified Rockfish,139,212,OBS,ROCKFISH  UNIDENTIFIED,300
22,AKR,Black Rockfish,142,217,OBS,BLACK ROCKFISH,306
46,AKR,Yellowmouth Rockfish,175,229,OBS,YELLOWMOUTH ROCKFISH,320
32,AKR,Shortraker Rockfish,152,234,OBS,SHORTRAKER ROCKFISH,326
28,AKR,Tiger Rockfish,148,236,OBS,TIGER ROCKFISH,329
55,AKR,Aurora Rockfish,185,239,OBS,AURORA ROCKFISH,334
1531,AKR,Other Small Sculpins,160,258,OBS,SCISSORTAIL SCULPIN,425
1521,AKR,"Poacher, general",219,261,OBS,BIGEYE POACHER,457
1003,AKR,Lingcod,130,275,OBS,LINGCOD,603
995,AKR,Pacific saury,220,278,OBS,PACIFIC SAURY,607
78,AKR,Pacific Sand Lance (family Ammodytidae),774,286,OBS,SAND LANCES,670
1022,AKR,Snails,890,315,OBS,RUSTY MOONSNAIL,975
59,AKR,"Pricklebacks, etc.  (family Stichaeidae)",208,356,OBS,PEARLY PRICKLEBACK,754
1517,AKR,Eels or eel-like fish  ,210,361,OBS,FROSTFISH,650
1550,AKR,"Smelt, Surf",515,362,OBS,SURF SMELT,613
1521,AKR,"Poacher, general",219,371,OBS,SAWBACK POACHER,453
1521,AKR,"Poacher, general",219,375,OBS,SPINYCHEEK STARSNOUT,461
1521,AKR,"Poacher, general",219,376,OBS,BERING POACHER,463
29,AKR,China Rockfish,149,393,OBS,CHINA ROCKFISH,346
1517,AKR,Eels or eel-like fish  ,210,397,OBS,KAMCHATKA EELPOUT,262
19,AKR,Bocaccio Rockfish,137,423,OBS,BOCACCIO ROCKFISH,302
76,AKR,Lanternfishes (family Myctophidae),772,442,OBS,CALIFORNIA HEADLIGHTFISH,701
1531,AKR,Other Small Sculpins,160,445,OBS,ANTLERED SCULPIN,472
1621,AKR,"Skate, Other",700,462,OBS,OKHOTSK SKATE,161
1531,AKR,Other Small Sculpins,160,476,OBS,BLOB SCULPIN,422
6,AKR,Rock Sole,123,511,OBS,SOUTHERN ROCK SOLE,121
73,AKR,"Shark, Other",689,517,OBS,THRESHER SHARK,63
1033,AKR,"Shrimp, humpy",963,518,OBS,SHRIMP UNIDENTIFIED,70
1552,AKR,Ratfish,714,521,OBS,SPOTTED RATFISH,99
1538,AKR,Other Large Sculpins,286,530,OBS,SCULPIN UNIDENTIFIED,400
1531,AKR,Other Small Sculpins,160,533,OBS,PACIFIC STAGHORN SCULPIN,424
1521,AKR,"Poacher, general",219,534,OBS,DRAGON POACHER,459
994,AKR,Giant grenadier,214,564,OBS,GRENADIER UNIDENTIFIED,80
1507,AKR,Kamchatka Flounder,117,1169,OBS,TURBOT/KAM/ARROW - UNIDENTIFIED,143
1011,AKR,"Clam, geoduck",815,1224,OBS,MUSSELS OYSTERS SCALLOPS CLAMS,29
1022,AKR,Snails,890,1228,OBS,SNAIL EGGS UNIDENTIFIED,34
1022,AKR,Snails,890,1229,OBS,SNAIL SHELL UNIDENTIFIED,36
1519,AKR,"Snailfish, general",218,1253,OBS,LIPARIS MEGACEPHALUS,502
1526,AKR,Dark Rockfish,173,1528,OBS,DARK ROCKFISH,345
1621,AKR,"Skate, Other",700,1637,OBS,MUD SKATE,165
1513,AKR,Miscellaneous Flatfish,120,1639,OBS,CALIFORNIA HALIBUT,122
81,AKR,Squid,875,96,OBS,HUMBOLDT SQUID,511
88,AKR,"Crab, Opilio Tanner (Snow)",932,97,OBS,TANNER CRAB UNIDENTIFIED,3
1506,AKR,Arrowtooth Flounder,121,117,OBS,ARROWTOOTH FLOUNDER,141
1521,AKR,"Poacher, general",219,119,OBS,POACHER UNIDENTIFIED,450
83,AKR,Red King Crab,921,131,OBS,CRAB UNIDENTIFIED,1
85,AKR,"Crab, Golden King (Brown)",923,131,OBS,CRAB UNIDENTIFIED,1
1026,AKR,"Crabs, box",900,131,OBS,CRAB UNIDENTIFIED,1
1027,AKR,"Crab, dungeness",910,131,OBS,CRAB UNIDENTIFIED,1
1613,AKR,"Crab, Verrilli",953,131,OBS,CRAB UNIDENTIFIED,1
83,AKR,Red King Crab,921,136,OBS,LITHODID CRAB UNIDENTIFIED,14
73,AKR,"Shark, Other",689,162,OBS,SPINY DOGFISH SHARK,66
994,AKR,Giant grenadier,214,167,OBS,GIANT GRENADIER,82
1514,AKR,Bering Flounder,116,181,OBS,BERING FLOUNDER,145
2,AKR,Pacific Cod,110,198,OBS,GADID UNIDENTIFIED,215
1504,AKR,Saffron Cod,111,198,OBS,GADID UNIDENTIFIED,215
36,AKR,Widow Rockfish,156,216,OBS,WIDOW ROCKFISH,305
30,AKR,Rosethorn Rockfish,150,220,OBS,ROSETHORN ROCKFISH,309
37,AKR,Silvergray Rockfish,157,221,OBS,SILVERGRAY ROCKFISH,310
26,AKR,Canary Rockfish,146,224,OBS,CANARY ROCKFISH,314
1533,AKR,Large Sculpins - Great Sculpin,281,250,OBS,GREAT SCULPIN,405
1538,AKR,Other Large Sculpins,286,257,OBS,IRISH LORD UNIDENTIFIED,418
1521,AKR,"Poacher, general",219,259,OBS,STURGEON POACHER,452
1521,AKR,"Poacher, general",219,260,OBS,GRAY STARSNOUT POACHER,456
1550,AKR,"Smelt, Surf",515,272,OBS,SMELT/HERRING UNIDENTIFIED,600
70,AKR,"Smelt, Eulachon",511,273,OBS,EULACHON,601
1550,AKR,"Smelt, Surf",515,274,OBS,SMELT UNIDENTIFIED,602
1614,AKR,Pacific Herring (directed fishery),230,282,OBS,PACIFIC HERRING,611
1004,AKR,Pacific sardine,170,283,OBS,PACIFIC SARDINE,614
1521,AKR,"Poacher, general",219,373,OBS,BLACKFIN POACHER,455
1531,AKR,Other Small Sculpins,160,381,OBS,MOSSHEAD SCULPIN,421
1032,AKR,"Shrimp, sidestripe",962,404,OBS,SIDESTRIPE SHRIMP,72
1621,AKR,"Skate, Other",700,410,OBS,DEEPSEA SKATE,92
41,AKR,Sharpchin Rockfish,166,454,OBS,SMALL RED ROCKFISH GROUP,348
47,AKR,Harlequin Rockfish,176,454,OBS,SMALL RED ROCKFISH GROUP,348
81,AKR,Squid,875,467,OBS,ROBUST CLUBHOOK SQUID,51
1622,AKR,"Skate, Aleutian",704,470,OBS,ALEUTIAN SKATE,85
997,AKR,Pacific Flatnose,260,472,OBS,PACIFIC FLATNOSE,210
1519,AKR,"Snailfish, general",218,494,OBS,MARBLED SNAILFISH,505
1513,AKR,Miscellaneous Flatfish,120,508,OBS,SANDDAB UNIDENTIFIED,136
6,AKR,Rock Sole,123,510,OBS,NORTHERN ROCK SOLE,120
1513,AKR,Miscellaneous Flatfish,120,523,OBS,DEEPSEA SOLE,110
54,AKR,Vermilion Rockfish,184,526,OBS,VERMILION ROCKFISH,331
988,AKR,"Greenling, kelp",194,529,OBS,KELP GREENLING,392
1538,AKR,Other Large Sculpins,286,531,OBS,RED IRISH LORD,407
1519,AKR,"Snailfish, general",218,535,OBS,SNAILFISH UNIDENTIFIED,500
1517,AKR,Eels or eel-like fish  ,210,537,OBS,SNIPE EEL UNIDENTIFIED,559
1623,AKR,"Skate, Whiteblotched",705,548,OBS,WHITEBLOTCHED SKATE,164
218,AKR,Unidentified Rockfish,139,554,OBS,DARK ROCKFISH UNIDENTIFIED,347
84,AKR,Blue King Crab,922,556,OBS,KING CRAB UNIDENTIFIED,2
1507,AKR,Kamchatka Flounder,117,1045,OBS,ARROWTOOTH/KAMCHATKA FLOUNDER,149
1506,AKR,Arrowtooth Flounder,121,1169,OBS,TURBOT/KAM/ARROW - UNIDENTIFIED,143
1005,AKR,"Tuna, albacore",720,1178,OBS,ALBACORE TUNA,784
1014,AKR,"Clam, little-neck",840,1224,OBS,MUSSELS OYSTERS SCALLOPS CLAMS,29
1023,AKR,Sea cucumbers,895,1232,OBS,SEA CUCUMBER UNIDENTIFIED,41
1531,AKR,Other Small Sculpins,160,1248,OBS,ICELUS CANALICULATUS,429
65,AKR,Sockeye Salmon,420,89,OBS,SALMON UNIDENTIFIED,220
57,AKR,Pacific Halibut,200,91,OBS,PACIFIC HALIBUT,101
87,AKR,Bairdi Tanner Crab,931,97,OBS,TANNER CRAB UNIDENTIFIED,3
1089,AKR,Grooved Tanner Crab,933,97,OBS,TANNER CRAB UNIDENTIFIED,3
1513,AKR,Miscellaneous Flatfish,120,112,OBS,ROUGHSCALE SOLE,114
1536,AKR,Large Sculpins - Warty Sculpin,284,118,OBS,MYOXOCEPHALUS SCULPIN UNIDENTIFIED,440
1089,AKR,Grooved Tanner Crab,933,122,OBS,TANNERI TANNER,18
1091,AKR,Triangle Tanner Crab,934,123,OBS,ANGULATUS TANNER,19
1037,AKR,"Crab, Hanasaki (Spiny) King",925,131,OBS,CRAB UNIDENTIFIED,1
1089,AKR,Grooved Tanner Crab,933,131,OBS,CRAB UNIDENTIFIED,1
1091,AKR,Triangle Tanner Crab,934,131,OBS,CRAB UNIDENTIFIED,1
1028,AKR,"Crab, scarlet king",924,136,OBS,LITHODID CRAB UNIDENTIFIED,14
1002,AKR,"Shark, pacific sleeper",692,160,OBS,PACIFIC SLEEPER SHARK,62
5,AKR,Flathead Sole,122,172,OBS,FLATHEAD SOLE,103
15,AKR,Alaska Plaice Flounder,133,174,OBS,ALASKA PLAICE,106
1513,AKR,Miscellaneous Flatfish,120,178,OBS,SLENDER SOLE,111
73,AKR,"Shark, Other",689,183,OBS,PYGMY SHARK,155
1430,AKR,Prowfish,215,190,OBS,PROWFISH,205
1640,AKR,Pacific Hake,112,191,OBS,PACIFIC HAKE,206
18,AKR,Northern Rockfish,136,214,OBS,NORTHERN ROCKFISH,303
35,AKR,Yellowtail Rockfish,155,230,OBS,YELLOWTAIL ROCKFISH,321
1646,AKR,Shortraker/Rougheye Rockfish,171,234,OBS,SHORTRAKER ROCKFISH,326
23,AKR,Thornyhead Rockfish (Idiots),143,243,OBS,LONGSPINE THORNYHEAD ROCKFISH,352
986,AKR,"Greenling, rock",191,245,OBS,ROCK GREENLING,393
1537,AKR,Large Sculpins - Yellow Irish Lord,285,257,OBS,IRISH LORD UNIDENTIFIED,418
1519,AKR,"Snailfish, general",218,265,OBS,BLACKTAIL SNAILFISH GROUP,501
1517,AKR,Eels or eel-like fish  ,210,279,OBS,KING-OF-THE-SALMON,608
59,AKR,"Pricklebacks, etc.  (family Stichaeidae)",208,291,OBS,PRICKLEBACK UNIDENTIFIED,750
1007,AKR,Lancetfish,716,302,OBS,LANCETFISHES,785
59,AKR,"Pricklebacks, etc.  (family Stichaeidae)",208,355,OBS,ARCTIC SHANNY,752
76,AKR,Lanternfishes (family Myctophidae),772,360,OBS,BROKENLINE LAMPFISH,704
77,AKR,Deep-sea Smelt (family Bathylagidae),773,366,OBS,BLACKSMELT UNIDENTIFIED,618
77,AKR,Deep-sea Smelt (family Bathylagidae),773,367,OBS,NORTHERN SMOOTHTONGUE,619
1531,AKR,Other Small Sculpins,160,378,OBS,THORNY SCULPIN,413
